Method Goal Errors:
Trial 43: [1.1808, 3.9838, 1.0562, 0.0335, 0.0132, 0.9818, 1.1587, 0.0191, 2.0653]
Trial 44: [1.1809, 0.014, 1.0427, 1.0524, 0.0143, 1.0655, 0.0616, 1.016, 0.979]
Trial 45: [1.1807, 1.2473, 1.0986, 0.023, 0.1075, 0.9798, 0.0218, 1.0148, 0.1403]
Trial 46: [1.2687, 1.0445, 0.9773, 0.9842, 0.9963, 0.0144, 1.0532, 0.0097, 0.1313]
Trial 47: [1.0935, 1.1391, 0.1078, 0.0311, 1.0326, 0.9796, 1.0174, 0.0727, 1.0631]
Trial 48: [0.1108, 4.0987, 1.0431, 1.0411, 0.0816, 0.079, 0.9996, 1.0041, 0.9772]
Trial 49: [1.1805, 1.1085, 0.0138, 1.02, 0.0177, 0.0223, 0.0244, 0.1019, 1.0111]
Trial 50: [0.0317, 1.1057, 0.9976, 0.9859, 0.9933, 0.9877, 1.0854, 0.9547, 0.9777]

Method Player Errors:
Trial 1:
  Player 1: [0.2594, 0.26, 0.2564, 0.2754, 0.0082, 0.0128, 0.0127, 0.0089, 0.0119]
  Player 2: [0.2551, 0.2501, 0.2441, 0.251, 0.006, 0.0096, 0.0128, 0.0078, 0.008]
  Player 3: [0.1724, 0.1454, 0.1247, 0.335, 0.0005, 0.0, 0.0, 0.0004, 0.0]
  Player 4: [0.306, 0.2952, 0.2627, 0.2723, 0.0016, 0.0269, 0.0263, 0.0008, 0.0]
Trial 2:
  Player 1: [0.2567, 0.2675, 0.2589, 0.2798, 0.2582, 0.26, 0.0146, 0.0154, 0.2922]
  Player 2: [0.2532, 0.2509, 0.2567, 0.2436, 0.2342, 0.2286, 0.0122, 0.0081, 0.2193]
  Player 3: [0.1826, 0.0393, 0.3607, 0.1607, 0.1729, 0.1879, 0.0, 0.0, 0.1211]
  Player 4: [0.296, 0.2948, 0.2841, 0.2697, 0.2614, 0.2463, 0.0003, 0.0016, 0.2097]
Trial 3:
  Player 1: [0.2626, 0.2601, 0.0617, 0.2797, 0.2584, 0.2608, 0.0186, 0.2768, 0.1779]
  Player 2: [0.2489, 0.2502, 0.0672, 0.251, 0.2342, 0.2286, 0.0134, 0.2225, 0.4005]
  Player 3: [0.2419, 0.1365, 0.0667, 0.3222, 0.0874, 0.1015, 0.0, 0.1089, 0.0613]
  Player 4: [0.3054, 0.2951, 0.0274, 0.2488, 0.2614, 0.2579, 0.0002, 0.2423, 0.0365]
Trial 4:
  Player 1: [0.2597, 0.0135, 0.2582, 0.0042, 0.2583, 0.2604, 0.2639, 0.2776, 0.2987]
  Player 2: [0.255, 0.0126, 0.2454, 0.008, 0.2341, 0.2284, 0.2255, 0.2191, 0.2171]
  Player 3: [0.2014, 0.0, 0.1173, 0.0005, 0.1764, 0.1857, 0.1723, 0.1198, 0.0169]
  Player 4: [0.2826, 0.0042, 0.2807, 0.0008, 0.2612, 0.2522, 0.2497, 0.1552, 0.2024]
Trial 5:
