Method Goal Errors:
  Player 1: [0.0535, 0.2598, 0.2564, 0.0185, 0.0112, 0.2604, 0.0079, 0.2741, 0.0187]
  Player 2: [0.056, 0.2497, 0.2457, 0.0197, 0.0128, 0.2289, 0.008, 0.2202, 0.0092]
  Player 3: [0.0182, 0.1136, 0.1166, 0.0, 0.0, 0.1159, 0.0001, 0.1603, 0.0027]
  Player 4: [0.0277, 0.295, 0.2838, 0.0048, 0.0002, 0.2526, 0.0008, 0.2361, 0.0037]
Trial 8:
  Player 1: [0.235, 0.0068, 0.0218, 0.2616, 0.2601, 0.024, 0.266, 0.0142, 0.2908]
  Player 2: [0.2219, 0.0123, 0.0234, 0.2391, 0.2341, 0.0205, 0.223, 0.0156, 0.2151]
  Player 3: [0.2243, 0.0009, 0.0, 0.0965, 0.103, 0.0001, 0.0914, 0.0001, 0.0438]
  Player 4: [0.3044, 0.0004, 0.004, 0.2743, 0.2616, 0.0266, 0.2437, 0.0003, 0.2224]
Trial 9:
  Player 1: [0.2592, 0.0241, 0.2593, 0.0058, 0.2585, 0.2641, 0.2685, 0.2808, 0.2908]
  Player 2: [0.2546, 0.0224, 0.24, 0.0091, 0.2345, 0.2336, 0.2261, 0.2267, 0.216]
  Player 3: [0.2426, 0.0, 0.123, 0.0006, 0.1119, 0.1151, 0.0967, 0.4223, 0.0418]
  Player 4: [0.306, 0.0003, 0.2901, 0.0013, 0.2612, 0.2547, 0.1924, 0.2268, 0.2126]
Trial 10:
  Player 1: [0.2593, 0.0138, 0.2564, 0.2608, 0.2584, 0.2651, 0.056, 0.0149, 0.2887]
  Player 2: [0.2553, 0.0146, 0.2463, 0.2422, 0.2343, 0.2348, 0.0507, 0.0082, 0.219]
  Player 3: [0.1437, 0.0001, 0.1167, 0.16, 0.1997, 0.0663, 0.0708, 0.0, 0.0822]
  Player 4: [0.3059, 0.0004, 0.2838, 0.2694, 0.261, 0.2266, 0.0273, 0.0001, 0.2274]
Trial 11:
  Player 1: [0.0008, 0.1032, 0.2624, 0.2623, 0.2592, 0.0174, 0.0151, 0.0075, 0.0138]
  Player 2: [0.0041, 0.1081, 0.2504, 0.2305, 0.2343, 0.013, 0.0129, 0.0058, 0.0134]
  Player 3: [0.0001, 0.0017, 0.1333, 0.1225, 0.1489, 0.0006, 0.0, 0.0001, 0.0]
  Player 4: [0.002, 0.0285, 0.2701, 0.2796, 0.2602, 0.0015, 0.0003, 0.0009, 0.0005]
Trial 12:
  Player 1: [0.2596, 0.0172, 0.0081, 0.2571, 0.2583, 0.2603, 0.0077, 0.2769, 0.048]
  Player 2: [0.2549, 0.0198, 0.0088, 0.2406, 0.2345, 0.2285, 0.0071, 0.2237, 0.0467]
  Player 3: [0.1553, 0.001, 0.0007, 0.1584, 0.1646, 0.144, 0.0007, 0.1569, 0.0004]
  Player 4: [0.3059, 0.0004, 0.001, 0.2721, 0.2611, 0.2535, 0.0007, 0.2314, 0.0015]
Trial 13:
  Player 1: [0.2501, 0.26, 0.2566, 0.2567, 0.2999, 0.0224, 0.009, 0.2834, 0.261]
  Player 2: [0.2429, 0.2499, 0.2453, 0.2394, 0.2373, 0.0178, 0.0083, 0.2236, 0.2225]
  Player 3: [0.2058, 0.1362, 0.127, 0.1592, 0.1782, 0.0, 0.0011, 0.1438, 0.1802]
  Player 4: [0.3061, 0.2953, 0.2838, 0.2722, 0.2574, 0.0015, 0.0273, 0.251, 0.215]
Trial 14:
  Player 1: [0.2336, 0.2602, 0.2568, 0.257, 0.2585, 0.2639, 0.0126, 0.0155, 0.2879]
  Player 2: [0.2496, 0.2502, 0.246, 0.2405, 0.2342, 0.2327, 0.0076, 0.0123, 0.2196]
  Player 3: [0.2471, 0.1247, 0.3168, 0.2038, 0.114, 0.2927, 0.0, 0.0, 0.142]
  Player 4: [0.3082, 0.2951, 0.2836, 0.2719, 0.2613, 0.2433, 0.0004, 0.0003, 0.2268]
Trial 15:
  Player 1: [0.2293, 0.26, 0.0092, 0.2721, 0.2734, 0.0117, 0.0189, 0.2788, 0.0176]
  Player 2: [0.2555, 0.2512, 0.0126, 0.2485, 0.2558, 0.0344, 0.0118, 0.2254, 0.012]
  Player 3: [0.1627, 0.3239, 0.0001, 0.2289, 0.1845, 0.0, 0.0001, 0.1596, 0.0]
  Player 4: [0.306, 0.2938, 0.0124, 0.2555, 0.2581, 0.0004, 0.0047, 0.2512, 0.0003]
Trial 16:
  Player 1: [0.0026, 0.0538, 0.0568, 0.0057, 0.0166, 0.021, 0.2644, 0.0194, 0.291]
